Municipios;Sexo;Periodo;Total
15091 Vilarmaior;Total;2018;1.231
15091 Vilarmaior;Total;2017;1.249
15091 Vilarmaior;Total;2016;1.260
15091 Vilarmaior;Total;2015;1.233
15091 Vilarmaior;Total;2014;1.236
15091 Vilarmaior;Total;2013;1.247
15091 Vilarmaior;Total;2012;1.261
15091 Vilarmaior;Total;2011;1.273
15091 Vilarmaior;Total;2010;1.277
15091 Vilarmaior;Total;2009;1.294
15091 Vilarmaior;Total;2008;1.289
15091 Vilarmaior;Total;2007;1.287
15091 Vilarmaior;Total;2006;1.326
15091 Vilarmaior;Total;2005;1.343
15091 Vilarmaior;Total;2004;1.362
15091 Vilarmaior;Total;2003;1.350
15091 Vilarmaior;Total;2002;1.388
15091 Vilarmaior;Total;2001;1.398
15091 Vilarmaior;Total;2000;1.417
15091 Vilarmaior;Total;1999;1.429
15091 Vilarmaior;Total;1998;1.412
15090 Vilasantar;Total;2021;1.219
15090 Vilasantar;Total;2020;1.211
15090 Vilasantar;Total;2019;1.213
15090 Vilasantar;Total;2018;1.225
15090 Vilasantar;Total;2017;1.241
15090 Vilasantar;Total;2016;1.275
15090 Vilasantar;Total;2015;1.280
15090 Vilasantar;Total;2014;1.316
15090 Vilasantar;Total;2013;1.362
15090 Vilasantar;Total;2012;1.368
15090 Vilasantar;Total;2011;1.380
15090 Vilasantar;Total;2010;1.406
15090 Vilasantar;Total;2009;1.415
15090 Vilasantar;Total;2008;1.432
15090 Vilasantar;Total;2007;1.469
15090 Vilasantar;Total;2006;1.496
15090 Vilasantar;Total;2005;1.538
15090 Vilasantar;Total;2004;1.574
15090 Vilasantar;Total;2003;1.610
15090 Vilasantar;Total;2002;1.622
15090 Vilasantar;Total;2001;1.639
15090 Vilasantar;Total;2000;1.678
15090 Vilasantar;Total;1999;1.707
15090 Vilasantar;Total;1998;1.707
15092 Vimianzo;Total;2021;6.925
15092 Vimianzo;Total;2020;6.963
15092 Vimianzo;Total;2019;7.057
15092 Vimianzo;Total;2018;7.138
15092 Vimianzo;Total;2017;7.270
15092 Vimianzo;Total;2016;7.378
15092 Vimianzo;Total;2015;7.520
15092 Vimianzo;Total;2014;7.710
15092 Vimianzo;Total;2013;7.849
15092 Vimianzo;Total;2012;7.977
15092 Vimianzo;Total;2011;8.039
15092 Vimianzo;Total;2010;8.128
15092 Vimianzo;Total;2009;8.204
15092 Vimianzo;Total;2008;8.300
15092 Vimianzo;Total;2007;8.364
15092 Vimianzo;Total;2006;8.402
15092 Vimianzo;Total;2005;8.466
15092 Vimianzo;Total;2004;8.517
15092 Vimianzo;Total;2003;8.653
15092 Vimianzo;Total;2002;8.686
15092 Vimianzo;Total;2001;8.787
15092 Vimianzo;Total;2000;8.766
15092 Vimianzo;Total;1999;8.937
15092 Vimianzo;Total;1998;8.937
15093 Zas;Total;2021;4.384
15093 Zas;Total;2020;4.393
15093 Zas;Total;2019;4.472
15093 Zas;Total;2018;4.581
15093 Zas;Total;2017;4.671
15093 Zas;Total;2016;4.756
15093 Zas;Total;2015;4.846
15093 Zas;Total;2014;4.902
15093 Zas;Total;2013;4.983
15093 Zas;Total;2012;5.109
15093 Zas;Total;2011;5.219
15093 Zas;Total;2010;5.295
15093 Zas;Total;2009;5.385
15093 Zas;Total;2008;5.459
15093 Zas;Total;2007;5.549
15093 Zas;Total;2006;5.674
15093 Zas;Total;2005;5.780
15093 Zas;Total;2004;5.867
15093 Zas;Total;2003;5.978
15093 Zas;Total;2002;6.082
15093 Zas;Total;2001;6.160
15093 Zas;Total;2000;6.212
15093 Zas;Total;1999;6.226
15093 Zas;Total;1998;6.311
