Municipios;Sexo;Periodo;Total
15027 Coirós;Total;2002;1.577
15027 Coirós;Total;2001;1.556
15027 Coirós;Total;2000;1.552
15027 Coirós;Total;1999;1.549
15027 Coirós;Total;1998;1.553
15028 Corcubión;Total;2021;1.606
15028 Corcubión;Total;2020;1.590
15028 Corcubión;Total;2019;1.589
15028 Corcubión;Total;2018;1.578
15028 Corcubión;Total;2017;1.592
15028 Corcubión;Total;2016;1.606
15028 Corcubión;Total;2015;1.655
15028 Corcubión;Total;2014;1.672
15028 Corcubión;Total;2013;1.654
15028 Corcubión;Total;2012;1.731
15028 Corcubión;Total;2011;1.767
15028 Corcubión;Total;2010;1.803
15028 Corcubión;Total;2009;1.815
15028 Corcubión;Total;2008;1.822
15028 Corcubión;Total;2007;1.887
15028 Corcubión;Total;2006;1.912
15028 Corcubión;Total;2005;1.927
15028 Corcubión;Total;2004;1.964
15028 Corcubión;Total;2003;1.997
15028 Corcubión;Total;2002;2.002
15028 Corcubión;Total;2001;2.001
15028 Corcubión;Total;2000;1.945
15028 Corcubión;Total;1999;1.929
15028 Corcubión;Total;1998;1.949
15029 Coristanco;Total;2021;5.878
15029 Coristanco;Total;2020;5.950
15029 Coristanco;Total;2019;6.074
15029 Coristanco;Total;2018;6.177
15029 Coristanco;Total;2017;6.313
15029 Coristanco;Total;2016;6.426
15029 Coristanco;Total;2015;6.551
15029 Coristanco;Total;2014;6.706
15029 Coristanco;Total;2013;6.875
15029 Coristanco;Total;2012;6.974
15029 Coristanco;Total;2011;7.102
15029 Coristanco;Total;2010;7.165
15029 Coristanco;Total;2009;7.285
15029 Coristanco;Total;2008;7.376
15029 Coristanco;Total;2007;7.528
15029 Coristanco;Total;2006;7.582
15029 Coristanco;Total;2005;7.646
15029 Coristanco;Total;2004;7.765
15029 Coristanco;Total;2003;7.860
15029 Coristanco;Total;2002;8.001
15029 Coristanco;Total;2001;8.098
15029 Coristanco;Total;2000;8.146
15029 Coristanco;Total;1999;8.218
